Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780040239,100,,Aggregated,129.800000,0.000000,11,15,17,19,26,35,97,180,250,260,260,4085,0,11,17.079803548699687,3.6186999641358852,256.479199975729,34.42521419828641
1780040240,100,,Aggregated,130.900000,0.000000,11,14,17,19,27,35,95,180,250,260,260,4212,0,11,16.985232881470456,3.6186999641358852,256.479199975729,34.4667616334283
1780040241,100,,Aggregated,129.800000,0.000000,11,14,17,19,26,35,85,180,250,260,260,4347,0,11,16.81557135849939,3.6186999641358852,256.479199975729,34.47573038877387
1780040242,100,,Aggregated,128.500000,0.000000,11,14,17,19,26,34,82,180,250,260,260,4483,0,11,16.698907159329934,3.6186999641358852,256.479199975729,34.48494311844747
1780040243,100,,Aggregated,129.700000,0.000000,11,14,17,19,26,35,76,170,250,260,260,4607,0,11,16.720144691950246,3.6186999641358852,256.479199975729,34.45604514868678
1780040244,100,,Aggregated,130.100000,0.000000,11,14,17,19,26,34,62,170,250,260,260,4742,0,11,16.54232770876424,3.6186999641358852,256.479199975729,34.43420497680304
1780040245,100,,Aggregated,129.700000,0.000000,11,14,17,19,25,34,61,170,250,260,260,4880,0,11,16.37170413822951,3.6186999641358852,256.479199975729,34.46659836065574
1780040246,100,,Aggregated,130.500000,0.000000,11,14,17,19,25,34,61,170,250,260,260,5008,0,11,16.34027234320183,3.6186999641358852,256.479199975729,34.46745207667732
1780040247,100,,Aggregated,131.500000,0.000000,11,14,17,19,25,34,58,170,250,260,260,5137,0,11,16.224986566903265,3.6186999641358852,256.479199975729,34.47011874635001
1780040248,100,,Aggregated,130.800000,0.000000,11,14,17,19,25,34,57,170,250,260,260,5267,0,11,16.148814390347507,3.6186999641358852,256.479199975729,34.48642490981583
1780040249,100,,Aggregated,130.900000,0.000000,11,14,17,18,25,33,57,150,250,260,260,5392,0,11,16.07146120054778,3.6186999641358852,256.479199975729,34.48126854599406
1780040250,100,,Aggregated,130.900000,0.000000,11,14,17,18,25,33,56,150,250,260,260,5525,0,11,16.019751455769686,3.6186999641358852,256.479199975729,34.4937556561086
1780040251,100,,Aggregated,130.600000,0.000000,11,14,17,18,25,33,56,150,250,260,260,5659,0,11,15.997299539349232,3.6186999641358852,256.479199975729,34.53012899805619
1780040252,100,,Aggregated,131.300000,0.000000,11,14,17,19,25,33,55,150,250,260,260,5792,0,11,15.92248837948836,3.6186999641358852,256.479199975729,34.50863259668508
1780040253,100,,Aggregated,129.800000,0.000000,11,14,17,18,25,33,54,150,250,260,260,5917,0,11,15.848550903160728,3.6186999641358852,256.479199975729,34.48386006422174
1780040254,100,,Aggregated,129.700000,0.000000,11,14,17,18,25,33,54,150,250,260,260,6043,0,11,15.767190434159929,3.6186999641358852,256.479199975729,34.470296210491476
1780040255,100,,Aggregated,130.900000,0.000000,11,14,17,19,25,34,54,140,250,260,260,6173,0,11,15.916831976952562,3.6186999641358852,256.479199975729,34.44856633727523
1780040256,100,,Aggregated,129.600000,0.000000,11,14,17,19,25,33,53,140,250,260,260,6306,0,11,15.862716205810665,3.6186999641358852,256.479199975729,34.427846495401205
1780040257,100,,Aggregated,129.000000,0.000000,11,14,17,19,25,33,53,130,250,260,260,6447,0,11,15.791433441018007,3.6186999641358852,256.479199975729,34.40887234372576
1780040258,100,,Aggregated,129.000000,0.000000,11,14,17,19,25,33,53,130,250,260,260,6575,0,11,15.77482097259875,3.6186999641358852,256.479199975729,34.447300380228135
1780040259,100,,Aggregated,129.800000,0.000000,11,14,17,19,25,33,52,130,250,260,260,6712,0,11,15.720184355452062,3.6186999641358852,256.479199975729,34.42803933253874
1780040260,100,,Aggregated,130.100000,0.000000,11,14,17,19,25,33,52,120,250,260,260,6845,0,11,15.654175046615716,3.6186999641358852,256.479199975729,34.41314828341855
1780040261,100,,Aggregated,130.800000,0.000000,11,14,17,19,26,35,57,130,250,260,260,6971,0,11,16.126406138898837,3.6186999641358852,256.479199975729,34.40725864294936
1780040262,100,,Aggregated,130.400000,0.000000,11,14,17,19,26,35,57,130,240,260,260,7092,0,11,16.031083487656055,3.6186999641358852,256.479199975729,34.400169204737736
1780040263,100,,Aggregated,131.600000,0.000000,11,14,17,19,26,35,57,130,240,260,260,7227,0,11,16.02680831526781,3.6186999641358852,256.479199975729,34.414971634149715
1780040264,100,,Aggregated,130.400000,0.000000,11,14,17,19,26,35,56,120,240,260,260,7363,0,11,15.98686789265607,3.6186999641358852,256.479199975729,34.38123047670786
1780040265,100,,Aggregated,130.100000,0.000000,11,14,17,19,26,34,56,120,240,260,260,7494,0,11,15.904976380100385,3.6186999641358852,256.479199975729,34.390712570056046
1780040266,100,,Aggregated,131.600000,0.000000,11,14,17,19,26,34,55,120,240,260,260,7625,0,11,15.831813520339669,3.6186999641358852,256.479199975729,34.37718032786885
1780040267,100,,Aggregated,131.400000,0.000000,11,14,17,19,26,35,57,120,240,260,260,7761,0,11,15.959380839156575,3.6186999641358852,256.479199975729,34.377915217111195
1780040268,100,,Aggregated,131.200000,0.000000,11,14,17,19,26,34,56,120,240,260,260,7884,0,11,15.901215042249015,3.6186999641358852,256.479199975729,34.33815322171487
