Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,11548,0,14,18.73874877857383,3.6186999641358852,256.479199975729,21.0,64.47026389562193,0.0,14,19,23,26,37,48,64,75,200,250,260
POST,/predict,11588,0,16,21.349364281593026,5.077800014987588,255.59469999279827,47.39109423541595,64.69357620561715,0.0,16,22,26,29,40,52,68,82,220,250,260
,Aggregated,23136,0,15,20.046313286223658,3.6186999641358852,256.479199975729,34.218360995850624,129.1638401012391,0.0,15,20,25,28,38,51,66,78,210,250,260
